employee_id,first_name,last_name,email,hire_date,job_title,department,salary,manager_id,address,city,state,zip_code,birth_date,status
1001,Thomas,Moore,thomas@company,2027-02-08,DevOps Engineer,IT,"""$64,500""",,054 Banks Divide,West Zacharyview,OH,96154,1970-12-26,On Leave
1002,Jose,Woods,jose.woods@business.io,2012-06-23,Manager,Finance,"149,000",,8751 Kristin Common,New Robertland,WA,55303,1996-04-22,Inactive
1003,Vincent,nguyen,vincent.nguyen@firm.com,2016-12-23,Data Analyst,IT,107500,1020,870 Jacob River,Michaelchester,CA,85654,1963-07-15,active
1004,Joshua,LOPEZ,joshua.lopez@corp.org,2009-05-25,Manager,Engineering,70000,1003,4349 Lewis Hill Apt. 017,Lake Adrianburgh,TX,21283,1990-01-23,Active
1005,Leonard,stevens,leonard.stevens@corp.org,2014-02-24,DevOps Engineer,Engineering,70000,1019,480 Romero Islands,Warrenview,FL,61839,1977-12-29,On Leave
1006,Ryan,SANTIAGO,Ryan.Santiago@BUSINESS.IO,2006-03-16,Data Engineer,Legal,"""$99,500""",1002,9552 Gilbert Views,Figueroashire,FL,34264,1982-11-09,Active
1007,KAREN,miller,karen.miller@company.com,2024-02-01,Business Analyst,Operations,70000,1011,4459 Marcus Extension Suite 349,Michaelhaven,OH,18237,1993-09-06,ACTIVE
1008,AMY,villegas,amy.villegas@firm.com,2023-10-16,Scrum Master,Operations,113500,,281 George Station,Kristenstad,CA,95518,1960-01-10,On Leave
1009,robert,PAUL,robert.paul@corp.org,2021-04-27,Business Analyst,Finance,"56,500",1020,70389 Tina Views Suite 966,Brandonmouth,OH,00898,1984-08-29,Active
1010,Felicia,MULLEN,felicia@enterprise,2027-11-21,Software Engineer,Marketing,"""$112,000""",1003,41811 Greene Points Suite 513,Brownberg,OH,63265,1970-04-28,On Leave
1011,Donald,white,donald.white@firm.com,2021-03-20,Business Analyst,IT,"""$88,500""",,208 Kristen Fields,West Patrickfort,CA,55243,1996-03-22,Inactive
1012,sarah,Powers,sarah.powers@corp.org,2012-06-29,Software Engineer,Sales,"""$67,500""",1003,384 Frey Passage Apt. 286,East Brooke,IL,86410,1980-10-01,Inactive
1013,robert,Williams,robert.williams@company.com,2000-02-05,Scrum Master,Sales,70000,1015,5438 Martin Circle,Port Stephen,AZ,54895,1977-07-06,active
1014,Diana,WRIGHT,diana.wright@company.com,2021-05-21,Support Specialist,Analytics,147000,1002,9068 Ferguson Corners Suite 797,Mckenziebury,AZ,34617,1982-07-22,Inactive
1015,SHANE,russell,shane.russell@firm.com,2014-03-11,HR Specialist,Engineering,"62,000",1011,08277 Julie Expressway,,AZ,23894,1971-09-12,Active
1016,gary,GUERRERO,gary.guerrero@firm.com,2011-11-24,Business Analyst,Operations,"""$80,500""",1008,2334 Michael Bridge Apt. 927,Mandychester,CA,82927,1965-12-10,Active
1017,JOHN,Ferguson,john.ferguson@company.com,2006-12-21,Product Manager,Operations,"""$72,000""",,831 Jennifer Forges Apt. 834,New Katietown,NY,70795,1972-03-20,active
1018,KATHERINE,Yu,katherine.yu@corp.org,2024-09-29,QA Engineer,IT,"91,000",1004,6411 Davis Pines Suite 055,Jonesmouth,FL,81143,1991-08-27,Active
1019,Daisy,cummings,daisy.cummings@enterprise.net,2011-03-12,Manager,Finance,48500,1018,01578 Walter Islands Suite 771,Thompsonstad,NY,44070,1989-12-01,Inactive
1020,erica,HIGGINS,erica.higgins@corp.org,2004-11-06,Financial Analyst,Operations,149500,,54074 Terry Light,North Rogerland,FL,00816,1977-02-27,active
1021,TRACY,Nichols,Tracy.Nichols@ENTERPRISE.NET,2017-12-05,HR Specialist,IT,"""$145,500""",1001,15614 Patricia Overpass Suite 286,Jordanmouth,GA,26307,1990-06-25,Inactive
1022,Carlos,KLINE,carlos.kline@firm.com,2001-12-28,Business Analyst,Finance,"92,000",,3661 Thomas Dam Apt. 518,New Lauren,AZ,25409,1991-10-17,active
1023,ASHLEY,cunningham,ashley.cunningham@firm.com,2018-04-27,Data Engineer,HR,"87,500",1018,381 Roberta Mills Apt. 392,Lake Malloryberg,TX,01627,1974-08-19,active
1024,Matthew,davis,matthew.davis@business.io,2009-08-02,Support Specialist,Marketing,"""$97,000""",1006,33954 Sarah Trace Suite 553,Mezaside,TX,20790,1982-12-06,Active
1025,WAYNE,Ramirez,wayne.ramirez@corp.org,2003-04-08,Director,HR,"""$89,500""",1019,47368 Jason Mills Suite 505,Clineton,GA,20794,1980-06-05,On Leave
1026,Tammy,Martin,tammy.martin@business.io,2011-03-06,Scrum Master,Engineering,51000,1015,9376 Maldonado Greens,Meghanport,MA,55021,1998-01-20,active
1027,JENNIFER,ramirez,jennifer.ramirez@firm.com,2010-09-24,Data Analyst,HR,92500,1010,05666 Buckley Garden,Johnsonberg,CA,45151,1972-04-26,Inactive
1028,Collin,Thomas,collin.thomas@business.io,2018-11-05,Software Engineer,Marketing,"136,000",1001,000 Jeffrey Ferry Suite 239,North Stephenton,GA,66248,1977-06-21,On Leave
1029,ricky,Hurst,ricky.hurst@corp.org,2012-03-29,Manager,Engineering,98500,,6658 Chelsea Circles,New Jenniferville,AZ,53628,,Inactive
1030,lori,wiley,lori.wiley@corp.org,2008-02-25,HR Specialist,Legal,"69,000",1007,096 Vincent Parkway Suite 441,North Christinaland,NY,92690,1962-04-03,Active
1031,ROBERT,NEAL,robert.neal@company.com,2011-02-03,Support Specialist,Finance,145000,,5898 Bryan Pass Apt. 022,Greeneport,AZ,66502,1968-12-10,ACTIVE
1032,joan,Reid,joan@enterprise,2001-02-24,Business Analyst,Finance,"""$110,500""",1013,305 Booth Garden,Meghanburgh,CA,05053,1973-12-29,Active
1033,Lisa,Smith,LISA.SMITH@ENTERPRISE.NET,2016-08-15,Financial Analyst,Engineering,101500,1001,02351 John Alley Suite 266,Lake Stevenstad,FL,32852,1963-02-03,Inactive
